State,Year,Quarter,District,Registered_users,App_opens
andaman-&-nicobar-islands,2022,1,North and Middle Andaman,10720,904869
andaman-&-nicobar-islands,2022,1,South Andaman,63487,2368756
andaman-&-nicobar-islands,2022,1,Nicobars,2081,573782
andaman-&-nicobar-islands,2022,2,North and Middle Andaman,11379,963824
andaman-&-nicobar-islands,2022,2,South Andaman,66959,3404740
andaman-&-nicobar-islands,2022,2,Nicobars,2192,811449
andaman-&-nicobar-islands,2022,3,North and Middle Andaman,11897,1176567
andaman-&-nicobar-islands,2022,3,South Andaman,70445,3607286
andaman-&-nicobar-islands,2022,3,Nicobars,2300,1284501
andaman-&-nicobar-islands,2022,4,North and Middle Andaman,12361,313502
andaman-&-nicobar-islands,2022,4,South Andaman,73692,3881359
andaman-&-nicobar-islands,2022,4,Nicobars,2389,159232
andaman-&-nicobar-islands,2019,1,North and Middle Andaman,2013,0
andaman-&-nicobar-islands,2019,1,South Andaman,15961,0
andaman-&-nicobar-islands,2019,1,Nicobars,622,0
andaman-&-nicobar-islands,2019,2,North and Middle Andaman,2417,6118
andaman-&-nicobar-islands,2019,2,South Andaman,18621,43569
andaman-&-nicobar-islands,2019,2,Nicobars,693,2953
andaman-&-nicobar-islands,2019,3,North and Middle Andaman,2662,22064
andaman-&-nicobar-islands,2019,3,South Andaman,20518,138190
andaman-&-nicobar-islands,2019,3,Nicobars,751,10853
andaman-&-nicobar-islands,2019,4,North and Middle Andaman,2955,26253
andaman-&-nicobar-islands,2019,4,South Andaman,22202,139646
andaman-&-nicobar-islands,2019,4,Nicobars,803,11113
andaman-&-nicobar-islands,2021,1,North and Middle Andaman,7833,121680
andaman-&-nicobar-islands,2021,1,South Andaman,48352,837589
andaman-&-nicobar-islands,2021,1,Nicobars,1573,45067
andaman-&-nicobar-islands,2021,2,North and Middle Andaman,8493,596182
andaman-&-nicobar-islands,2021,2,South Andaman,51903,1270226
andaman-&-nicobar-islands,2021,2,Nicobars,1699,381815
andaman-&-nicobar-islands,2021,3,North and Middle Andaman,9263,759314
andaman-&-nicobar-islands,2021,3,South Andaman,55873,1771107
andaman-&-nicobar-islands,2021,3,Nicobars,1846,591204
andaman-&-nicobar-islands,2021,4,North and Middle Andaman,10002,171921
andaman-&-nicobar-islands,2021,4,South Andaman,59807,1863037
andaman-&-nicobar-islands,2021,4,Nicobars,1971,77952
andaman-&-nicobar-islands,2020,1,North and Middle Andaman,3315,30444
andaman-&-nicobar-islands,2020,1,South Andaman,24174,151529
andaman-&-nicobar-islands,2020,1,Nicobars,879,11613
andaman-&-nicobar-islands,2020,2,North and Middle Andaman,4100,56992
andaman-&-nicobar-islands,2020,2,South Andaman,27626,231071
andaman-&-nicobar-islands,2020,2,Nicobars,984,17009
andaman-&-nicobar-islands,2020,3,North and Middle Andaman,5355,76553
andaman-&-nicobar-islands,2020,3,South Andaman,34833,417785
andaman-&-nicobar-islands,2020,3,Nicobars,1147,21227
andaman-&-nicobar-islands,2020,4,North and Middle Andaman,7076,125915
andaman-&-nicobar-islands,2020,4,South Andaman,43908,725321
andaman-&-nicobar-islands,2020,4,Nicobars,1412,35972
andaman-&-nicobar-islands,2018,1,North and Middle Andaman,632,0
andaman-&-nicobar-islands,2018,1,South Andaman,5846,0
andaman-&-nicobar-islands,2018,1,Nicobars,262,0
andaman-&-nicobar-islands,2018,2,North and Middle Andaman,911,0
andaman-&-nicobar-islands,2018,2,South Andaman,8143,0
andaman-&-nicobar-islands,2018,2,Nicobars,351,0
andaman-&-nicobar-islands,2018,3,North and Middle Andaman,1208,0
andaman-&-nicobar-islands,2018,3,South Andaman,10474,0
andaman-&-nicobar-islands,2018,3,Nicobars,467,0
andaman-&-nicobar-islands,2018,4,North and Middle Andaman,1553,0
andaman-&-nicobar-islands,2018,4,South Andaman,13133,0
andaman-&-nicobar-islands,2018,4,Nicobars,536,0
tamil-nadu,2022,1,Tiruchirappalli,688562,20900419
tamil-nadu,2022,1,Ramanathapuram,210698,17777779
tamil-nadu,2022,1,Krishnagiri,776101,41868147
tamil-nadu,2022,1,Cuddalore,527223,15255170
tamil-nadu,2022,1,Kancheepuram,1158719,11803314
tamil-nadu,2022,1,Tiruppur,1014036,24784887
tamil-nadu,2022,1,Dharmapuri,404709,29735879
tamil-nadu,2022,1,Thoothukkudi,327607,16229136
tamil-nadu,2022,1,Thanjavur,445883,13460902
tamil-nadu,2022,1,Madurai,820952,18688722
tamil-nadu,2022,1,Tiruvannamalai,489026,28400548
tamil-nadu,2022,1,Salem,905104,31202884
tamil-nadu,2022,1,Nagapattinam,226781,9648543
tamil-nadu,2022,1,Tirupathur,317064,12811064
tamil-nadu,2022,1,Ariyalur,134075,8238011
tamil-nadu,2022,1,Chennai,2388315,10870012
tamil-nadu,2022,1,The Nilgiris,173188,9788145
tamil-nadu,2022,1,Erode,589462,16683133
tamil-nadu,2022,1,Karur,222853,16310834
tamil-nadu,2022,1,Kallakkurichi,306623,15612591
tamil-nadu,2022,1,Viluppuram,379264,17225194
tamil-nadu,2022,1,Pudukkottai,237115,22854053
tamil-nadu,2022,1,Perambalur,112667,8040859
tamil-nadu,2022,1,Coimbatore,1687096,27741808
tamil-nadu,2022,1,Virudhunagar,346363,17177364
tamil-nadu,2022,1,Dindigul,440072,27821213
tamil-nadu,2022,1,Sivaganga,241188,20384928
tamil-nadu,2022,1,Tenkasi,204182,9468909
tamil-nadu,2022,1,Chengalpattu,1621177,16221250
tamil-nadu,2022,1,Kanniyakumari,370820,5009074
tamil-nadu,2022,1,Tirunelveli,338716,13100432
tamil-nadu,2022,1,Thiruvallur,1970646,24538065
tamil-nadu,2022,1,Theni,245438,12750343
tamil-nadu,2022,1,Ranipet,325358,10227642
tamil-nadu,2022,1,Namakkal,399282,14545554
tamil-nadu,2022,1,Vellore,449961,11694691
tamil-nadu,2022,1,Thiruvarur,170694,9618776
tamil-nadu,2022,2,Tiruchirappalli,725751,23738205
tamil-nadu,2022,2,Ramanathapuram,222241,19935706
tamil-nadu,2022,2,Krishnagiri,818552,49292179
tamil-nadu,2022,2,Cuddalore,556402,17547836
tamil-nadu,2022,2,Kancheepuram,1220237,12030323
tamil-nadu,2022,2,Tiruppur,1070480,29868571
tamil-nadu,2022,2,Dharmapuri,427150,34230475
tamil-nadu,2022,2,Thoothukkudi,345560,20332081
